Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter,,,2019-02-18 17:13:24,2019-02-18 17:13:35,11.014s,FAILED
,,,,,,
Test Cases/ITSupporter/01Login1,,,2019-02-18 17:13:24,2019-02-18 17:13:26,1.742s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/01Login""))",,,2019-02-18 17:13:25,2019-02-18 17:13:26,1.065s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.039s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.157s,PASSED
,,,,,,
Test Cases/ITSupporter/02Logout,,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.557s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/02Logout""))",,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.091s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:26,2019-02-18 17:13:26,0.037s,PASSED
,,,,,,
Test Cases/ITSupporter/03ViewProfile1,,,2019-02-18 17:13:26,2019-02-18 17:13:27,0.547s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/03ViewProfile""))",,,2019-02-18 17:13:27,2019-02-18 17:13:27,0.086s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:27,2019-02-18 17:13:27,0.004s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:27,2019-02-18 17:13:27,0.052s,PASSED
,,,,,,
Test Cases/ITSupporter/04UpdateTaskStatus,,,2019-02-18 17:13:27,2019-02-18 17:13:28,0.600s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/04UpdateTaskStatus""))",,,2019-02-18 17:13:27,2019-02-18 17:13:28,0.115s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.004s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.027s,PASSED
,,,,,,
Test Cases/ITSupporter/05DeleteTask,,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.505s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/05DeleteTask""))",,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.120s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:28,2019-02-18 17:13:28,0.044s,FAILED
,,,,,,
Test Cases/ITSupporter/06UpdateProfile,,,2019-02-18 17:13:28,2019-02-18 17:13:29,0.525s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/06UpdateProfile""))",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.103s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.030s,FAILED
,,,,,,
Test Cases/ITSupporter/07CreateTask,,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.428s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/07CreateTask""))",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.117s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.023s,FAILED
,,,,,,
Test Cases/ITSupporter/08CreateTaskFromGuideline,,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.318s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/08CreateTaskFromGuidline""))",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.063s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:29,2019-02-18 17:13:29,0.027s,FAILED
,,,,,,
Test Cases/ITSupporter/09AllTaskByRequestID1,,,2019-02-18 17:13:29,2019-02-18 17:13:30,0.267s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/09AllTaskByRequestID""))",,,2019-02-18 17:13:30,2019-02-18 17:13:30,0.093s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:30,2019-02-18 17:13:30,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:30,2019-02-18 17:13:30,0.023s,PASSED
,,,,,,
Test Cases/ITSupporter/10TaskByRequestTaskID1,,,2019-02-18 17:13:30,2019-02-18 17:13:30,0.408s,PASSED
