Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request,,,2019-02-13 17:11:10,2019-02-13 17:12:01,51.059s,FAILED
,,,,,,
Test Cases/Request/47AllTicket,,,2019-02-13 17:11:11,2019-02-13 17:11:19,7.876s,FAILED
"a = sendRequest(findTestObject(""Request/47AllTicket""))",,,2019-02-13 17:11:12,2019-02-13 17:11:14,1.334s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.042s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestId"", 1)",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.223s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestName"", ""The Coffee House - Chi nhánh số 1 - Wifi chậm"")",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.071s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].CreateDate"", ""09:47 16/02/2019"")",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.094s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].AgencyName"", ""The Coffee House - Chi nhánh số 1"")",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.192s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].ITSupporterName"", ""Lê Hồng Ân"")",,,2019-02-13 17:11:14,2019-02-13 17:11:14,0.088s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].IssueName"", ""Wifi chậm"")",,,2019-02-13 17:11:14,2019-02-13 17:11:15,0.087s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ITName"", ""Lê Hồng Ân"")",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.025s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestStatus"", ""Chờ nhân viên xử lý"")",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.055s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestStatusId"", 1)",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.090s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].StatusName"", ""Chờ nhân viên xử lý"")",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.052s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].NumberOfRecord"", 1)",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.210s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].Priority"", ""Thấp"")",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.300s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[21].RequestId"", 2)",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.052s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].RequestName"", ""The Coffee House - Chi nhánh số 1 - Camera không hiện màu"")",,,2019-02-13 17:11:15,2019-02-13 17:11:15,0.092s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].CreateDate"", ""09:54 16/01/2019"")",,,2019-02-13 17:11:15,2019-02-13 17:11:16,0.038s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].AgencyName"", ""The Coffee House - Chi nhánh số 1"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.131s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].ITSupporterName"", ""Phạm Phú Tiến"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.051s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].IssueName"", ""Camera không hiện màu"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.092s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].ITName"", ""Phạm Phú Tiến"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.042s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].RequestStatus"", ""Tạo mới"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.125s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].RequestStatusId"", 5)",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.150s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].StatusName"", ""Tạo mới"")",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.337s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].NumberOfRecord"", 2)",,,2019-02-13 17:11:16,2019-02-13 17:11:16,0.052s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[21].Priority"", ""Trung bình"")",,,2019-02-13 17:11:16,2019-02-13 17:11:17,0.049s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[20].RequestId"", 3)",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.059s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].RequestName"", ""Uni deli - Sửa chữa máy POS  không in được."")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.077s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].CreateDate"", ""13:25 16/01/2019"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.159s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].AgencyName"", ""Uni deli"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.136s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].ITSupporterName"", ""Đỗ Hoàng Long"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.077s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].IssueName"", ""Sửa chữa máy POS  không in được."")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.071s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].ITName"", ""Đỗ Hoàng Long"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.043s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].RequestStatus"", ""Hoàn thành"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.092s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].RequestStatusId"", 3)",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.122s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].StatusName"", ""Hoàn thành"")",,,2019-02-13 17:11:17,2019-02-13 17:11:17,0.072s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[20].NumberOfRecord"", 3)",,,2019-02-13 17:11:17,2019-02-13 17:11:18,0.087s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].Priority"", ""Cao"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.120s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestId"", 4)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.060s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestName"", ""Uni deli - Sửa chữa máy POS  không in được."")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.037s,FAILED
